millis,mA
35500,1.60
35503,2.20
35505,2.00
35508,1.50
35511,2.00
35513,1.60
35516,1.80
35519,2.20
35521,1.90
35524,1.60
35527,1.70
35529,2.00
35532,1.40
35534,1.10
35537,2.20
35540,1.40
35543,4.30
35546,2.00
35549,2.00
35551,1.80
35554,1.90
35556,2.10
35559,1.80
35562,1.80
35564,1.80
35567,0.40
35570,1.80
35572,1.90
35575,1.70
35577,2.00
35580,1.10
35584,3.70
35586,2.20
35589,1.50
35592,3.90
35594,2.00
35597,1.90
35599,1.90
35602,1.80
35605,2.00
35607,2.00
35610,1.70
35612,1.80
35615,1.80
35618,2.40
35620,1.60
35623,1.20
35627,1.90
35629,1.60
35632,1.00
35634,2.20
35637,2.00
35640,1.50
35642,1.90
35645,2.20
35648,1.90
35650,1.60
35653,1.80
35655,2.00
35658,1.50
35661,1.80
35663,0.10
35666,1.80
35670,1.60
35672,1.30
35675,2.00
35678,1.60
35680,1.00
35683,2.20
35685,1.70
35688,1.30
35691,2.00
35693,2.00
35696,2.70
35698,1.50
35701,2.00
35704,2.30
35706,1.50
35709,1.80
35713,-0.30
35715,1.90
35718,1.50
35720,2.10
35723,1.80
35726,1.80
35728,1.50
35731,2.20
35734,1.70
35736,1.00
35739,1.30
35741,2.40
35744,2.20
35747,1.40
35749,2.10
35752,2.60
35756,1.50
35758,1.40
35761,1.80
35763,1.50
35766,1.70
35769,1.60
35771,2.00
35774,1.60
35777,1.00
35779,1.80
35782,2.00
35784,1.30
35787,1.80
35790,2.30
35792,1.90
35795,1.60
35799,1.80
35801,4.20
35804,1.80
35807,1.40
35809,2.20
35812,2.00
35814,1.60
35817,1.30
35820,2.00
35822,1.70
35825,1.30
35828,1.90
35830,2.40
35833,1.30
35835,1.50
35838,2.20
35842,4.30
35844,1.20
35847,2.00
35850,4.90
35852,1.80
35855,1.40
35857,2.20
35860,2.00
35863,1.50
35865,1.90
35868,2.10
35871,1.50
35873,1.30
35876,2.30
35878,1.90
35881,1.60
35885,2.30
35887,2.10
35890,1.40
35892,1.20
35895,2.20
35898,1.70
35900,1.60
35903,2.20
35906,1.90
35908,1.60
35911,1.60
35914,1.60
35916,1.70
35919,1.30
35921,1.60
35924,1.50
35928,1.70
35930,1.50
35933,2.00
35935,1.80
35938,1.40
35941,1.70
35943,2.30
35946,1.50
35949,1.50
35951,1.70
35954,2.00
35956,2.00
35959,1.50
35962,1.80
35964,2.40
35968,1.60
35971,1.60
35973,1.80
35976,1.70
35978,1.60
35981,2.20
35984,2.00
35986,1.80
35989,1.80
35992,2.30
35994,1.90
35997,1.70
36000,1.50
36002,2.10
36005,1.80
36007,1.80
36011,1.80
36014,2.10
36016,1.90
36019,1.10
36021,2.00
36024,2.00
36027,1.40
36029,1.60
36032,2.00
36035,1.70
36037,1.70
36040,1.80
36042,2.10
36045,1.80
36048,1.40
36050,1.70
36054,1.90
36057,1.70
36059,1.40
36062,2.50
36065,2.20
36067,1.40
36070,1.60
36072,2.60
36075,1.90
36078,1.60
36080,2.00
36083,1.70
36086,1.80
36088,1.50
36091,1.70
36093,2.00
36097,1.60
36100,1.30
36102,2.40
36105,1.80
36107,1.20
36110,1.90
36113,1.90
36115,1.70
36118,1.70
36121,1.90
36123,2.00
36126,1.80
36128,1.80
36131,2.10
36134,2.20
36136,1.60
36140,1.40
36143,2.10
36145,1.60
36148,1.70
36150,2.00
36153,2.10
36156,1.40
36158,1.50
36161,1.80
36164,1.90
36166,1.80
36169,1.80
36171,2.10
36174,2.20
36177,1.50
36179,1.90
36183,2.20
36186,1.60
36188,1.70
36191,2.10
36194,2.00
36196,1.30
36199,1.80
36201,2.20
36204,1.90
36207,1.60
36209,1.70
36212,2.10
36215,1.90
36217,1.60
36220,1.90
36222,2.30
36226,1.90
36229,1.60
36231,2.10
36234,1.50
36237,1.20
36239,1.90
36242,1.90
36244,1.50
36247,1.50
36250,2.00
36252,1.80
36255,1.60
36258,2.00
36260,2.10
36263,1.50
36265,1.30
36269,2.20
36272,2.30
36274,1.50
36277,1.70
36280,2.30
36282,1.50
36285,1.50
36287,2.40
36290,2.00
36293,1.70
36295,1.60
36298,2.10
36301,1.90
36303,1.70
36306,1.40
36308,2.10
36312,2.20
36315,1.30
36317,2.00
36320,2.00
36323,1.60
36325,1.50
36328,2.30
36330,2.00
36333,1.70
36336,2.00
36338,2.30
36341,1.90
36344,1.60
36346,1.20
36349,2.20
36352,2.10
36355,1.50
36358,1.90
36360,1.90
36363,1.90
36365,1.30
36368,1.80
36371,2.10
36373,1.70
36376,1.90
36379,1.80
36381,1.80
36384,2.10
36387,1.50
36389,2.20
36392,1.60
36395,1.30
36398,2.10
36401,1.80
36403,1.80
36406,1.70
36409,2.30
36411,1.80
36414,1.50
36416,1.20
36419,1.90
36422,1.70
36424,1.70
36427,2.20
36430,1.90
36432,1.60
36435,1.80
36438,1.90
36441,1.80
36444,1.60
36446,1.90
36449,2.00
36452,1.70
36454,1.50
36457,0.60
36459,2.00
36462,1.50
36465,0.20
36467,2.00
36470,1.80
36472,1.90
36475,2.10
36478,2.40
36481,2.10
36484,1.50
36487,2.00
36489,2.30
36492,2.00
36494,1.30
36497,2.70
36500,2.00
36502,1.30
36505,1.80
36508,2.40
36510,1.20
36513,1.80
36515,1.80
36518,1.80
36521,1.90
36524,1.80
36527,2.20
36530,2.00
36532,1.20
36535,2.00
36537,2.30
36540,2.00
36543,1.70
36545,2.40
36548,1.90
36551,0.90
36553,1.60
36556,2.20
36558,1.60
36561,1.40
36564,2.00
36567,2.00
36570,-0.30
36573,1.70
36575,2.30
36578,0.80
36580,1.60
36583,1.80
36586,2.20
36588,1.60
36591,1.70
36594,2.40
36596,2.10
36599,1.30
36602,2.50
36604,2.00
36608,1.90
36610,2.00
36613,2.30
36616,2.00
36618,-0.10
36621,2.10
36624,2.20
36626,0.40
36629,1.50
36631,2.10
36634,1.80
36637,1.60
36639,1.50
36642,2.30
36644,1.80
36647,1.70
36651,2.20
36653,2.40
36656,1.50
36659,1.90
36661,2.20
36664,2.00
36666,1.60
36669,2.10
36672,2.00
36674,1.80
36677,1.20
36680,2.30
36682,1.90
36685,1.50
36687,1.80
36690,1.70
36694,1.80
36696,1.60
36699,1.70
36702,1.80
36704,1.80
36707,4.10
36709,2.20
36712,1.90
36715,1.50
36717,2.20
36720,2.30
36723,2.00
36725,1.60
36728,2.10
36731,0.30
36733,1.50
36737,1.80
36739,2.00
36742,1.70
36745,2.00
36747,1.80
36750,1.90
36752,1.40
36755,2.20
36758,2.40
36760,1.70
36763,2.10
36766,2.30
36768,2.00
36771,1.70
36774,1.80
36776,2.50
36780,0.40
36782,1.20
36785,1.60
36788,2.10
36790,1.80
36793,1.30
36795,1.50
36798,1.80
36801,1.30
36803,1.30
36806,2.30
36809,2.10
36811,1.60
36814,2.00
36816,2.20
36819,1.80
36823,1.20
36825,2.00
36828,1.80
36831,1.60
36833,1.70
36836,1.80
36838,1.90
36841,1.50
36844,1.80
36846,1.80
36849,1.90
36852,1.30
36854,2.10
36857,1.90
36859,2.50
36862,1.90
36866,1.80
36868,3.30
36871,1.60
36874,2.10
36876,1.80
36879,1.50
36881,1.90
36884,1.80
36887,2.00
36889,1.50
36892,1.80
36895,2.00
36897,1.70
36900,1.50
36902,2.10
36905,1.90
36909,4.10
36911,1.90
36914,2.20
36917,8.70
36919,6.70
36922,7.30
36924,6.50
36927,6.80
36930,6.80
36932,6.80
36935,7.00
36938,22.60
36940,22.80
36943,18.20
36946,23.50
36948,21.50
36952,24.20
36955,6.20
36957,25.10
36960,24.20
36963,22.10
36965,21.90
36968,27.90
36971,24.00
36974,22.00
36976,22.00
36979,4.10
36982,4.70
36984,4.20
36987,3.60
36989,3.90
36993,4.70
36996,3.40
36998,0.60
37001,3.60
37004,3.80
37006,3.30
37009,3.60
37011,3.90
37014,3.40
37017,3.20
37019,3.60
37022,6.30
37025,3.50
37027,3.50
37030,5.00
37032,3.60
37036,3.10
37039,3.20
37041,3.90
37044,3.60
37047,3.50
37049,3.90
37052,3.80
37054,2.30
37057,2.80
37060,3.90
37062,3.20
37065,3.30
37068,3.30
37070,5.90
37073,3.60
37075,2.90
37079,5.40
37082,3.80
37084,3.10
37087,3.60
37090,3.50
37092,3.70
37095,3.00
37097,3.00
37100,3.70
37103,2.70
37105,3.50
37108,3.60
37111,3.20
37113,3.70
37116,3.40
37118,3.50
37122,3.40
37125,3.10
37127,3.00
37130,3.70
37133,3.60
37135,3.00
37138,3.50
37140,3.90
37143,3.50
37146,3.10
37148,3.40
37151,3.60
37154,3.30
37156,3.40
37159,3.40
37161,3.30
37165,3.00
37168,3.00
37170,3.60
37173,3.10
37176,3.00
37178,3.90
37181,3.70
37183,5.60
37186,3.50
37189,3.70
37191,4.80
37194,3.30
37197,3.50
37199,3.00
37202,3.40
37204,3.00
37208,3.30
37211,3.60
37213,3.20
37216,3.10
37219,3.70
37221,3.30
37224,3.00
37226,3.70
37229,3.90
37232,6.00
37234,3.10
37237,4.00
37239,6.20
37242,3.10
37245,3.60
37248,4.10
37251,3.50
37254,3.20
37256,3.60
37259,3.60
37261,3.00
37264,3.00
37267,4.10
37269,3.50
37272,2.80
37275,3.90
37277,3.90
37280,3.30
37283,2.90
37285,3.70
37288,3.40
37291,3.40
37294,3.20
37297,2.10
37299,2.00
37302,1.60
37305,1.70
37307,1.90
37310,1.80
37312,1.70
37315,2.20
37318,1.80
37320,1.30
37323,1.90
37326,2.00
37328,1.20
37331,1.60
37334,1.70
37337,1.80
37340,1.90
37342,1.60
37345,1.80
37348,1.80
37350,1.70
37353,1.50
37355,1.80
37358,1.60
37361,1.50
37363,2.10
37366,1.90
37369,1.40
37371,2.00
37374,2.40
37377,1.70
37380,1.80
37383,1.80
37385,1.70
37388,1.80
37391,1.50
37393,2.10
37396,1.90
37398,1.70
37401,1.70
37404,2.30
37406,1.80
37409,1.50
37412,2.10
37414,2.20
37417,1.70
37420,1.80
37423,2.10
37426,2.00
37428,1.60
37431,1.80
37434,1.60
37436,1.90
37439,1.70
37441,1.80
37444,1.80
37447,1.40
37449,1.50
37452,1.90
37455,1.80
37457,1.40
37460,2.00
37463,2.00
37466,1.70
37469,1.60
37471,2.20
37474,1.80
37477,1.90
37479,1.70
37482,1.90
37484,2.00
37487,1.50
37490,2.00
37492,1.80
37495,1.50
37498,1.60
37500,2.00
37504,2.00
37506,1.20
37509,2.00
37512,2.40
37514,1.80
37517,1.70
37520,1.90
37522,1.70
37525,1.50
37527,1.60
37530,2.00
37533,2.50
37535,1.20
37538,2.10
37541,1.80
37543,1.80
37547,1.50
37549,2.30
37552,1.80
37555,1.20
37557,2.20
37560,1.90
37563,1.30
37565,1.90
37568,2.30
37570,1.70
37573,1.50
37576,1.80
37578,1.80
37581,1.60
37584,1.50
37586,2.00
37590,2.10
37592,1.40
37595,1.50
37598,2.20
37600,1.90
37603,1.60
37606,1.90
37608,2.00
37611,1.30
37613,1.40
37616,2.20
37619,1.70
37621,1.80
37624,2.00
37627,1.70
37629,2.00
37633,1.20
37635,2.30
37638,2.00
37641,1.60
37643,1.80
37646,2.00
37649,1.80
37651,1.80
37654,2.40
37656,1.70
37659,1.70
37662,1.80
37664,2.00
37667,1.80
37670,1.60
37672,1.90
37676,1.80
37679,1.80
37681,2.10
37684,2.20
37686,1.80
37689,1.40
37692,2.00
37694,2.10
37697,1.40
37700,1.60
37702,2.30
37705,2.00
37707,1.40
37710,2.10
37713,2.30
37715,1.50
37719,1.80
37722,2.40
37724,1.70
37727,2.00
37729,1.60
37732,1.90
37735,1.50
37737,1.80
37740,2.00
37742,2.10
37745,1.50
37748,1.90
37750,2.10
37753,1.70
37756,1.30
37758,-0.30
37762,1.60
37765,1.30
37767,1.00
37770,1.90
37772,1.80
37775,1.50
37778,2.10
37780,2.30
37783,2.20
37786,1.50
37788,2.20
37791,2.00
37793,1.40
37796,1.90
37799,2.40
37801,1.60
37805,1.30
37808,2.40
37810,2.00
37813,1.70
37815,1.30
37818,2.20
37821,1.80
37823,1.20
37826,2.10
37828,2.30
37831,2.00
37834,1.80
37836,2.20
37839,1.80
37842,1.60
37844,2.10
37848,1.90
37851,1.60
37853,1.70
37856,2.00
37858,1.40
37861,1.80
37864,-0.60
37866,1.40
37869,1.70
37872,0.80
37874,1.70
37877,1.70
37879,2.90
37882,1.70
37885,1.40
37888,2.40
37891,1.90
37894,1.30
37896,1.90
37899,1.90
37901,1.70
37904,2.10
37907,2.10
37909,1.70
37912,-1.00
37915,1.80
37917,2.00
37920,-1.10
37922,1.50
37925,2.20
37928,1.60
37931,1.70
37934,1.80
37937,2.30
37939,2.00
37942,1.70
37944,2.50
37947,2.10
37950,1.60
37952,2.70
37955,2.20
37958,1.80
37960,1.60
37963,2.00
37965,2.20
37968,1.80
37971,1.70
37974,2.20
37977,1.60
37980,1.40
37982,1.90
37985,2.00
37987,1.30
37990,1.20
37993,2.30
37995,1.80
37998,1.60
38001,1.20
38003,2.20
38006,2.00
38008,1.60
38011,2.00
38014,2.10
38017,1.80
38020,2.00
38023,1.90
38025,0.50
38028,1.20
38030,2.00
38033,0.10
38036,1.80
38038,1.80
38041,1.60
38043,1.80
38046,1.60
38049,1.60
38051,2.00
38054,1.60
38057,4.00
38060,2.20
38063,1.80
38066,2.50
38068,2.10
38071,2.00
38073,0.60
38076,1.60
38079,2.20
38081,-0.10
38084,1.50
38087,2.20
38089,1.80
38092,1.50
38094,1.70
38097,2.00
38100,1.90
38103,1.30
38106,3.40
38109,1.90
38111,2.20
38114,3.70
38116,2.00
38119,1.90
38122,1.60
38124,1.90
38127,2.10
38130,1.30
38132,1.60
38135,2.20
38137,1.60
38140,1.40
38144,2.20
38146,1.80
38149,1.80
38152,1.30
